internal_id,string_external_id,abundance
4438368,9606.ENSP00000307889,457
4441541,9606.ENSP00000345672,456
4446299,9606.ENSP00000378161,456
4450361,9606.ENSP00000451560,455
4448921,9606.ENSP00000417656,454
4437352,9606.ENSP00000296930,454
4441661,9606.ENSP00000346839,453
4440870,9606.ENSP00000338413,453
4445244,9606.ENSP00000368959,453
4441510,9606.ENSP00000345341,452
4436083,9606.ENSP00000273550,451
4443629,9606.ENSP00000359910,451
4436997,9606.ENSP00000292907,448
4450191,9606.ENSP00000446215,448
4441373,9606.ENSP00000343885,447
4433350,9606.ENSP00000226004,447
4446014,9606.ENSP00000376184,447
4449551,9606.ENSP00000430598,446
4446851,9606.ENSP00000381717,446
4441964,9606.ENSP00000349722,445
4446447,9606.ENSP00000379098,444
4447078,9606.ENSP00000384136,441
4441045,9606.ENSP00000340466,440
4448088,9606.ENSP00000399805,437
4439151,9606.ENSP00000317780,436
4449437,9606.ENSP00000428263,435
4437619,9606.ENSP00000300026,435
4432930,9606.ENSP00000216218,435
4437953,9606.ENSP00000303356,434
4436415,9606.ENSP00000281154,432
4447178,9606.ENSP00000384906,431
4439161,9606.ENSP00000317904,430
4448993,9606.ENSP00000418842,429
4449557,9606.ENSP00000430706,429
4442477,9606.ENSP00000354499,429
4438861,9606.ENSP00000313432,429
4444253,9606.ENSP00000362820,427
4442186,9606.ENSP00000351777,427
4443033,9606.ENSP00000357076,426
4438667,9606.ENSP00000311224,425
4442520,9606.ENSP00000354687,425
4434248,9606.ENSP00000252711,425
4437781,9606.ENSP00000301653,423
4439911,9606.ENSP00000327268,422
4437856,9606.ENSP00000302476,422
4435313,9606.ENSP00000263774,421
4450713,9606.ENSP00000463559,420
4451239,9606.ENSP00000477781,416
4444599,9606.ENSP00000364801,415
4444600,9606.ENSP00000364802,415
4434500,9606.ENSP00000256594,414
4441569,9606.ENSP00000345957,414
4436903,9606.ENSP00000291295,414
4436266,9606.ENSP00000277865,413
4441904,9606.ENSP00000349259,413
4438947,9606.ENSP00000314649,412
4441355,9606.ENSP00000343657,412
4439187,9606.ENSP00000318195,412
4448110,9606.ENSP00000400175,411
4443001,9606.ENSP00000356969,410
